,Lesson(s) Learned,Driving Event Level 1,Driving Event Level 2,Recommendation(s),document IDs for row,number of documents for row
37,closing,productivity,bag purge,fitting,[58],1
38,closing,productivity,bag purge,inspection criterion,[97],1
39,closing,productivity,bag purge,lift,[5897],1
40,closing,productivity,bag purge,soho,[884],1
41,closing,productivity,bag purge,spc,[29],1
42,closing,productivity,bag purge,supervision,"[5816, 531, 105, 99, 75]",5
43,closing,productivity,bag purge,supervisor,"[940, 450]",2
44,closing,productivity,bag purge,valve,[181],1
45,closing,productivity,demates,assumption make,[289],1
46,closing,productivity,disassembly inspection,assumption make,[509],1
47,closing,productivity,downlinks,assumption make,[765],1
48,closing,productivity,downlinks,redundancy,[78],1
49,closing,productivity,emittance,coverage,[57],1
50,closing,productivity,hot gas,supervisor,[173],1
51,closing,productivity,metal oxide semiconductor,assumption make,[2896],1
52,closing,productivity,mro,valve,[254],1
53,closing,productivity,pfr,nozzle,[954],1
54,closing,productivity,preventive,supervision,[68],1
55,closing,productivity,radiance,radiation,[359],1
56,closing,productivity,radiance,valve,[59],1
57,closing,rcm,foreign object,emergency stop,[101],1
58,closing,rcm,radiation hardness,supervision,[106],1
59,closing,rcm,radiation hardness,velocity,[204],1
60,closing,rover,smap,spc,[31],1
61,closing,xenon tank,circuit breaker,redundancy,[28],1
62,closing,xenon tank,fault protection,contamination,[380],1
63,closing,xenon tank,fault protection,failure investigation,[17],1
64,closing,xenon tank,fault protection,fire source,[348],1
65,closing,xenon tank,fault protection,redundancy,[65],1
66,closing,xenon tank,frequency mode shape,supervision,[193],1
67,closing,xenon tank,frequency mode shape,supervisor,[1577],1
68,closing,xenon tank,review formal review,coverage,[166],1
69,combustion gas,productivity,bag purge,environmental,[183],1
70,combustion gas,productivity,bag purge,inspection criterion,[119],1
71,combustion gas,productivity,bag purge,manifest,[61],1
72,combustion gas,productivity,cleaning,trade,[179],1
73,combustion gas,productivity,pfr,assumption make,[176],1
74,combustion gas,productivity,pfr,contamination,[152],1
75,combustion gas,productivity,pfr,nozzle,"[950, 951, 952, 949, 958, 959, 947, 948, 957, 946, 955, 956, 953, 759]",14
76,combustion gas,rover,smap,hardware configuration,[225],1
77,combustion gas,xenon tank,fault protection,battery design,[428],1
78,condition time,productivity,bag purge,lift,[1221],1
79,conform,orbital replaceable,pyro,assumption make,[451],1
80,conform,productivity,disassembly inspection,assumption make,[12901],1
81,conform,xenon tank,microscope objective,design manufacturing,[455],1
82,connector,productivity,pfr,manifest,[449],1
83,connector,productivity,pfr,supervision,[178],1
84,connector,productivity,preventive,flight ground lander challenge axis,[191],1
85,connector,xenon tank,circuit breaker,assumption make,"[6416, 69]",2
86,connector,xenon tank,circuit breaker,connector,"[472, 431]",2
87,connector,xenon tank,microscope objective,connector,"[316, 53, 386]",3
88,connector,xenon tank,microscope objective,expectation,[1241],1
89,connector,xenon tank,microscope objective,fitting,[70],1
90,connector,xenon tank,microscope objective,supervision,[302],1
91,connector,xenon tank,microscope objective,valve,[5],1
92,contamination,productivity,disassembly inspection,contamination,[357],1
93,contamination,productivity,downlinks,contamination,[642],1
94,contamination,productivity,indicator pressure gauge,fitting,[260],1
95,contamination,productivity,pfr,assumption make,[471],1
96,contamination,productivity,radiance,fitting,[305],1
97,contamination,rover,tutorial text spie,valve,[7],1
98,contamination,xenon tank,review formal review,design manufacturing,[234],1
99,contamination,xenon tank,vibroacoustic qualification,assumption make,"[536, 314]",2
100,corner,xenon tank,variable polarity plasma arc,supervisor,[1179],1
101,cot,productivity,bag purge,assumption make,[749],1
102,cot,xenon tank,frequency mode shape,assumption make,[540],1
103,critical facility,orbital replaceable,pyro,supervisor,"[1429, 1043]",2
104,critical facility,productivity,bag purge,assumption make,"[874, 190]",2
105,critical facility,productivity,bag purge,supervision,[499],1
106,critical facility,productivity,bag purge,supervisor,[44],1
107,critical facility,productivity,cleaning,emergency stop,[133],1
108,critical facility,productivity,cleaning,failure investigation,[291],1
109,critical facility,productivity,demates,extend mission,[583],1
110,critical facility,productivity,demates,redundancy,[993],1
111,critical facility,productivity,hot gas,assumption make,[1164],1
112,critical facility,productivity,metal oxide semiconductor,redundancy,[1756],1
113,critical facility,productivity,radiance,subsystem,[482],1
114,critical facility,productivity,spacecraft mass property,subsystem,[355],1
115,critical facility,rover,hill book,assumption make,[2216],1
116,critical facility,rover,tutorial text spie,corporate,[3356],1
117,critical facility,xenon tank,circuit breaker,flight ground lander challenge axis,[612],1
118,critical facility,xenon tank,emerge,hazardous activity,[1372],1
119,critical facility,xenon tank,fault protection,assumption make,[1864],1
120,critical facility,xenon tank,fault protection,short circuit,[598],1
121,critical facility,xenon tank,frequency mode shape,assumption make,[3762],1
122,critical facility,xenon tank,microscope objective,bend,[489],1
123,critical facility,xenon tank,microscope objective,subsystem,[770],1
124,critical facility,xenon tank,microscope objective,supervisor,[875],1
125,critical facility,xenon tank,variable polarity plasma arc,redundancy,[573],1
126,critical facility,xenon tank,vibroacoustic qualification,flight ground lander challenge axis,[325],1
127,dimension,productivity,bag purge,fitting,[1338],1
128,display,productivity,bag purge,assumption make,[1003],1
129,display,productivity,hot gas,assumption make,[1002],1
130,display,productivity,metal oxide semiconductor,flight ground lander challenge axis,[1124],1
131,display,productivity,preventive,assumption make,[1247],1
132,display,productivity,radiance,assumption make,[1049],1
133,display,rover,smap,assumption make,[1161],1
134,display,rover,tutorial text spie,flight ground lander challenge axis,[1129],1
135,earth orbit,productivity,demates,assumption make,[22101],1
136,earth orbit,productivity,disassembly inspection,valve,[2976],1
137,earth orbit,productivity,emittance,leader,[1373],1
138,earth orbit,productivity,pfr,manifest,[487],1
139,earth orbit,productivity,pfr,redundancy,[21],1
140,earth orbit,productivity,preventive,flight ground lander challenge axis,[1331],1
141,earth orbit,productivity,preventive,radiation,[1333],1
142,erratic,xenon tank,circuit breaker,flight ground lander challenge axis,[784],1
143,erratic,xenon tank,fault protection,environmental,[776],1
144,erratic,xenon tank,fault protection,subsystem,[774],1
145,event lead,provide adequate clearance,faraday cage,assumption make,[664],1
146,event lead,xenon tank,microscope objective,subsystem,[280],1
147,failure adhere proven,productivity,disassembly inspection,outgassing,[764],1
148,failure adhere proven,productivity,downlinks,contamination,"[807, 808]",2
149,failure adhere proven,productivity,pfr,assumption make,[803],1
150,failure adhere proven,productivity,pfr,valve,"[812, 701]",2
151,failure adhere proven,productivity,radiance,assumption make,[318],1
152,failure adhere proven,productivity,radiance,propulsion,[763],1
153,failure adhere proven,rcm,radiation hardness,computer,"[737, 721]",2
154,failure adhere proven,valve,arrhenius,assumption make,[692],1
155,failure adhere proven,valve,arrhenius,redundancy,[766],1
156,failure adhere proven,xenon tank,emerge,environmental,[672],1
157,failure adhere proven,xenon tank,fault protection,redundancy,[697],1
158,failure adhere proven,xenon tank,frequency mode shape,flight ground lander challenge axis,[893],1
159,failure adhere proven,xenon tank,microscope objective,assumption make,[714],1
160,failure adhere proven,xenon tank,microscope objective,contamination,[739],1
161,failure adhere proven,xenon tank,microscope objective,short circuit,[719],1
162,fatigue,productivity,bag purge,assumption make,[1187],1
163,fatigue,productivity,bag purge,emergency stop,"[141, 122]",2
164,fatigue,productivity,disassembly inspection,thread,[1230],1
165,fatigue,productivity,pfr,failure investigation,[613],1
166,fatigue,xenon tank,circuit breaker,assumption make,[730],1
167,fatigue,xenon tank,fault protection,radiation,[535],1
168,fatigue,xenon tank,fault protection,structural integrity,[429],1
169,ffar,productivity,bag purge,flight ground lander challenge axis,[258],1
170,ffar,productivity,metal oxide semiconductor,contamination,[344],1
171,ffar,productivity,metal oxide semiconductor,technician quality,[2],1
172,ffar,productivity,pfr,contamination,[211],1
173,ffar,productivity,radiance,supervision,[233],1
174,ffar,productivity,spacecraft mass property,flight ground lander challenge axis,[205],1
175,ffar,xenon tank,fault protection,assumption make,"[6956, 379]",2
176,ffar,xenon tank,fault protection,fire source,[408],1
177,ffar,xenon tank,fault protection,flight ground lander challenge axis,[282],1
178,ffar,xenon tank,frequency mode shape,fire source,[1412],1
179,ffar,xenon tank,frequency mode shape,horizontal,[552],1
180,ffar,xenon tank,microscope objective,flight ground lander challenge axis,[658],1
181,ffar,xenon tank,microscope objective,valve,[87],1
182,ffar,xenon tank,vibroacoustic qualification,thread,[301],1
183,fidelity,brazing,mcbride,manifest,[6696],1
184,fidelity,orbital replaceable,pyro,access panel,[539],1
185,fidelity,orbital replaceable,pyro,subsystem,[453],1
186,fidelity,productivity,demates,assumption make,[2536],1
187,fidelity,productivity,demates,extend mission,[288],1
188,fidelity,productivity,demates,manifest,[1268],1
189,fidelity,productivity,emittance,thread,[394],1
190,fidelity,productivity,hot gas,assumption make,[214],1
191,fidelity,productivity,metal oxide semiconductor,assumption make,"[1613, 1165]",2
192,fidelity,productivity,spacecraft mass property,assumption make,"[349, 368]",2
193,fidelity,productivity,spacecraft mass property,computer,[695],1
194,fidelity,rcm,radiation hardness,computer,[1223],1
195,fidelity,rover,tutorial text spie,flight ground lander challenge axis,[4],1
196,fidelity,xenon tank,fault protection,assumption make,[1180],1
197,fidelity,xenon tank,fault protection,flight ground lander challenge axis,[1197],1
198,fidelity,xenon tank,fault protection,subsystem,[390],1
199,fidelity,xenon tank,microscope objective,assumption make,[1618],1
200,fidelity,xenon tank,microscope objective,short circuit,[1410],1
201,fidelity,xenon tank,probability occurrence failure,contamination,[647],1
202,fidelity,xenon tank,probability occurrence failure,flight ground lander challenge axis,[1105],1
203,figure show,orbital replaceable,pyro,assumption make,[4019],1
204,figure show,orbital replaceable,pyro,environmental,[4020],1
205,figure show,xenon tank,vibroacoustic qualification,flight ground lander challenge axis,[709],1
206,flight critical parameter pilot,productivity,preventive,assumption make,[464],1
207,flight critical parameter pilot,productivity,radiance,assumption make,[361],1
208,flight critical parameter pilot,rover,tutorial text spie,altitude,[1714],1
209,flight critical parameter pilot,rover,tutorial text spie,supervision,[1710],1
210,frequency,productivity,disassembly inspection,access panel,[252],1
211,frequency,productivity,emittance,assumption make,[1798],1
212,frequency,productivity,pfr,assumption make,[643],1
213,frequency,productivity,pfr,manifest,[781],1
214,frequency,productivity,pfr,redundancy,[180],1
215,frequency,productivity,preventive,flight ground lander challenge axis,[1918],1
216,frequency,productivity,preventive,valve,[219],1
217,frequency,productivity,spacecraft mass property,contamination,[693],1
218,frequency,productivity,spacecraft mass property,outgassing,[283],1
219,frequency,provide adequate clearance,faraday cage,assumption make,[1359],1
220,frequency,rover,tutorial text spie,lift,[522],1
221,frequency,xenon tank,circuit breaker,manifest,[817],1
222,frequency,xenon tank,circuit breaker,subsystem,[785],1
223,frequency,xenon tank,emerge,interpret,[519],1
224,frequency,xenon tank,fault protection,assumption make,"[908, 561]",2
225,frequency,xenon tank,fault protection,flight ground lander challenge axis,[430],1
226,frequency,xenon tank,fault protection,subsystem,[281],1
227,frequency,xenon tank,review formal review,radiation,[27003],1
228,frequency,xenon tank,vibroacoustic qualification,inspection criterion,[50],1
229,gear box,productivity,bag purge,emergency stop,[74],1
230,gear box,productivity,preventive,thread,[615],1
231,gear box,rover,hill book,flight ground lander challenge axis,[2839],1
232,gear box,xenon tank,fault protection,supervisor,[1607],1
233,handle fixture,orbital replaceable,pyro,lift,[1339],1
234,handle fixture,productivity,bag purge,assumption make,[1309],1
235,handle fixture,productivity,bag purge,emergency stop,"[5796, 239, 143, 121, 46]",5
236,handle fixture,productivity,bag purge,inspection criterion,"[3197, 116]",2
237,handle fixture,productivity,bag purge,lift,"[5896, 246, 123, 236]",4
238,handle fixture,productivity,bag purge,valve,[159],1
239,handle fixture,productivity,cleaning,hardware configuration,[4999],1
240,handle fixture,productivity,hot gas,assumption make,[30],1
241,handle fixture,rover,hill book,contamination,[504],1
242,high voltage,orbital replaceable,mishap,assumption make,[100],1
243,high voltage,productivity,bag purge,radiation,[1603],1
244,high voltage,rover,tutorial text spie,valve,[1431],1
245,high voltage,xenon tank,circuit breaker,supervisor,[12101],1
246,high voltage,xenon tank,fault protection,assumption make,[436],1
247,high voltage,xenon tank,microscope objective,battery design,"[5336, 2046, 568, 557, 473]",5
248,high voltage,xenon tank,microscope objective,short circuit,[677],1
249,high voltage,xenon tank,microscope objective,stress analysis,[297],1
250,hole,brazing,mcbride,thread,[18701],1
251,hole,productivity,bag purge,thread,[323],1
252,hole,productivity,disassembly inspection,thread,[3259],1
253,hole,productivity,metal oxide semiconductor,failure investigation,[463],1
254,hole,productivity,metal oxide semiconductor,supervision,[306],1
255,hole,productivity,metal oxide semiconductor,thread,"[6937, 524]",2
256,hole,productivity,pfr,supervision,[15],1
257,hole,rover,smap,thread,[294],1
258,hole,rover,tutorial text spie,assumption make,[500],1
259,hole,xenon tank,circuit breaker,assumption make,[1525],1
260,hole,xenon tank,fault protection,thread,[437],1
261,hole,xenon tank,processing facility high bay,supervisor,[563],1
262,hole,xenon tank,vibroacoustic qualification,assumption make,[3220],1
263,injection,productivity,bag purge,corporate,[247],1
264,injection,productivity,bag purge,supervision,[935],1
265,injection,productivity,bag purge,valve,"[851, 146]",2
266,injection,productivity,demates,flight ground lander challenge axis,[28105],1
267,injection,productivity,demates,valve,[168],1
268,injection,productivity,emittance,supervision,[82],1
269,injury,application reliability prefer,corrective action system,valve,[138],1
270,injury,orbital replaceable,pyro,supervision,[81],1
271,injury,productivity,bag purge,assumption make,[32],1
272,injury,productivity,bag purge,bend,[140],1
273,injury,productivity,bag purge,emergency stop,[137],1
274,injury,productivity,bag purge,inspection criterion,[135],1
275,injury,productivity,bag purge,lift,[93],1
276,injury,productivity,bag purge,procedure cover,[125],1
277,injury,productivity,bag purge,soho,[107],1
278,injury,productivity,bag purge,supervisor,[86],1
279,injury,productivity,bag purge,valve,"[167, 142, 110, 127, 228]",5
280,injury,productivity,cleaning,valve,[36],1
281,injury,productivity,demates,assumption make,[872],1
282,injury,productivity,demates,spc,[40],1
283,injury,productivity,demates,valve,[550],1
284,injury,productivity,demates,waste container,[90],1
285,injury,productivity,downlinks,payload bay,[124],1
286,injury,productivity,electronic electrical equipment,valve,[37],1
287,injury,productivity,emittance,valve,"[134, 84]",2
288,injury,productivity,hot gas,valve,[126],1
289,injury,productivity,metal oxide semiconductor,valve,"[187, 129, 139]",3
290,injury,productivity,mro,flight ground lander challenge axis,[5003],1
291,injury,productivity,mro,redundancy,[666],1
292,injury,productivity,mro,valve,[79],1
293,injury,productivity,pfr,valve,"[153, 8]",2
294,injury,productivity,radiance,assumption make,[157],1
295,injury,productivity,radiance,supervision,[623],1
296,injury,productivity,smooth,fitting,[24],1
297,injury,productivity,spacecraft mass property,hardware configuration,[909],1
298,injury,rover,smap,assumption make,[76],1
299,injury,rover,tutorial text spie,assumption make,[188],1
300,injury,xenon tank,circuit breaker,terrain,[673],1
301,injury,xenon tank,fault protection,fire source,[210],1
302,injury,xenon tank,frequency mode shape,assumption make,[985],1
303,injury,xenon tank,frequency mode shape,emergency stop,[235],1
304,injury,xenon tank,microscope objective,assumption make,"[685, 114]",2
305,injury,xenon tank,review formal review,environmental,[35],1
306,injury,xenon tank,vibroacoustic qualification,assumption make,[19],1
307,injury,xenon tank,vibroacoustic qualification,connector,[91],1
308,institutional,productivity,cleaning,assumption make,[1402],1
309,institutional,productivity,cleaning,flight ground lander challenge axis,[1416],1
310,institutional,productivity,cleaning,propulsion,[13801],1
311,internal leakage,productivity,bag purge,fitting,[27],1
312,internal leakage,productivity,demates,manifest,[3763],1
313,internal leakage,productivity,demates,redundancy,[1781],1
314,internal leakage,productivity,pfr,redundancy,[77],1
315,internal leakage,productivity,radiance,valve,[854],1
316,internal leakage,rcm,radiation hardness,propulsion,[351],1
317,internal leakage,rover,tutorial text spie,contractor safety,[2576],1
318,internal leakage,xenon tank,fault protection,short circuit,[417],1
319,internal leakage,xenon tank,microscope objective,data obtain,[543],1
320,inventory,productivity,bag purge,spc,[1199],1
321,inventory,productivity,preventive,assumption make,[3016],1
322,label,brazing,mcbride,procedure cover,[1919],1
323,label,productivity,indicator pressure gauge,hardware configuration,[1355],1
324,label,xenon tank,emerge,nozzle,[466],1
325,launcher assembly,productivity,electronic electrical equipment,redundancy,[1185],1
326,launcher assembly,valve,nessus,redundancy,[42],1
327,logic design,application reliability prefer,corrective action system,trade,[843],1
328,logic design,productivity,bag purge,thread,[71],1
329,logic design,productivity,hot gas,assumption make,[637],1
330,logic design,productivity,metal oxide semiconductor,redundancy,[63],1
331,logic design,xenon tank,review formal review,assumption make,[1617],1
332,long lead item,productivity,indicator pressure gauge,assumption make,[207],1
333,long lead item,rover,tutorial text spie,manifest,[197],1
334,long lead item,xenon tank,microscope objective,radiation,[2916],1
335,long lead item,xenon tank,processing facility high bay,assumption make,[1051],1
336,man,productivity,bag purge,emergency stop,[1388],1
337,man,productivity,bag purge,supervision,[385],1
338,man,productivity,bag purge,valve,[118],1
339,man,productivity,pfr,contamination,[216],1
340,man,productivity,smooth,contamination,[665],1
341,man,xenon tank,solid model simulation,velocity,[336],1
342,management,application reliability prefer,corrective action system,assumption make,"[1596, 1488]",2
343,management,application reliability prefer,corrective action system,flight ground lander challenge axis,[1177],1
344,management,brazing,mcbride,assumption make,"[24502, 7016, 6837, 5044, 1489, 1319, 1128]",7
345,management,brazing,mcbride,data obtain,[2337],1
346,management,brazing,mcbride,flight ground lander challenge axis,[18804],1
347,management,brazing,mcbride,leader,[18801],1
348,management,brazing,mcbride,shop,[5013],1
349,management,brazing,mcbride,technician quality,[1205],1
350,management,brazing,mcbride,thread,[1229],1
351,management,low pressure vendor tanker,eigenvalue,assumption make,[447],1
352,management,orbital replaceable,mishap,assumption make,"[3041, 3516, 1835, 1494]",4
353,management,orbital replaceable,mishap,hardware configuration,[263],1
354,management,orbital replaceable,mishap,radiation,[1916],1
355,management,orbital replaceable,pyro,access panel,[4236],1
356,management,orbital replaceable,pyro,assumption make,"[3636, 5256, 2037, 1832, 936, 911, 229, 270]",8
357,management,orbital replaceable,pyro,battery design,[23701],1
358,management,orbital replaceable,pyro,contractor safety,[1375],1
359,management,orbital replaceable,pyro,fitting,[5876],1
360,management,orbital replaceable,pyro,flight ground lander challenge axis,[920],1
361,management,orbital replaceable,pyro,restraint,[1237],1
362,management,orbital replaceable,pyro,supervision,[6396],1
363,management,orbital replaceable,pyro,traceability,[528],1
364,management,orbital replaceable,pyro,trade,[849],1
365,management,productivity,bag purge,access panel,[863],1
366,management,productivity,bag purge,assumption make,"[22501, 17902, 5736, 11001, 6756, 6996, 4582, 5004, 4958, 5201, 5099, 5197, 5836, 6116, 6056, 4059, 4216, 4196, 5216, 3696, 5156, 4456, 2456, 1849, 1721, 1597, 1423, 1391, 1361, 1349, 1357, 1354, 1294, 1296, 1272, 1239, 1215, 1168, 1134, 1096, 1123, 1084, 1056, 1061, 1059, 1031, 1021, 1022, 914, 856, 606, 588, 474, 425, 327, 96, 52, 245, 273]",59
367,management,productivity,bag purge,clearing,"[5396, 862]",2
368,management,productivity,bag purge,contractor safety,[1368],1
369,management,productivity,bag purge,corporate,[1379],1
370,management,productivity,bag purge,coverage,[5916],1
371,management,productivity,bag purge,emergency stop,"[60, 223]",2
372,management,productivity,bag purge,environmental,[627],1
373,management,productivity,bag purge,failure investigation,[1757],1
374,management,productivity,bag purge,fitting,"[1041, 1034, 525]",3
375,management,productivity,bag purge,flight ground lander challenge axis,[4056],1
376,management,productivity,bag purge,frequently,[1626],1
377,management,productivity,bag purge,hardware configuration,"[1576, 1210, 475]",3
378,management,productivity,bag purge,horizontal,[5496],1
379,management,productivity,bag purge,inspection criterion,[1734],1
380,management,productivity,bag purge,interpret,"[1178, 1107]",2
381,management,productivity,bag purge,lift,"[1089, 92]",2
382,management,productivity,bag purge,manifest,[1225],1
383,management,productivity,bag purge,radiation,[23502],1
384,management,productivity,bag purge,redundancy,"[2736, 742, 88]",3
385,management,productivity,bag purge,restraint,"[1393, 257]",2
386,management,productivity,bag purge,shop,[1260],1
387,management,productivity,bag purge,stress analysis,[267],1
388,management,productivity,bag purge,subsystem,"[5196, 789]",2
389,management,productivity,bag purge,supervision,"[5957, 5879, 1601, 1427, 1198, 1091, 966, 442]",8
390,management,productivity,bag purge,supervisor,"[21803, 14101, 7156, 5936, 5536, 937, 857, 860, 873, 300]",10
391,management,productivity,bag purge,traceability,[1579],1
392,management,productivity,bag purge,training material,[1182],1
393,management,productivity,bag purge,valve,"[1432, 927]",2
394,management,productivity,cleaning,assumption make,"[22601, 6342, 2176, 1807, 1733, 1598, 1712, 1351, 1352, 1196, 897, 900, 888, 743, 638, 578]",16
395,management,productivity,cleaning,flight ground lander challenge axis,"[1246, 1159]",2
396,management,productivity,cleaning,grc,[169],1
397,management,productivity,cleaning,subsystem,[1771],1
398,management,productivity,cleaning,supervision,[546],1
399,management,productivity,cleaning,terrain,[2516],1
400,management,productivity,concurrent engineering team,assumption make,"[3336, 2043, 1098]",3
401,management,productivity,concurrent engineering team,failure investigation,[452],1
402,management,productivity,concurrent engineering team,supervision,[1382],1
403,management,productivity,demates,assumption make,"[28903, 25504, 25503, 25505, 25509, 22502, 17701, 17601, 16303, 10401, 6137, 8701, 6776, 6656, 4977, 5203, 3758, 3698, 3436, 2218, 2050, 2044, 1805, 1778, 1743, 1610, 1518, 1520, 1483, 1404, 1363, 1356, 1298, 1264, 1063, 1016, 921, 916, 859, 786, 597, 484, 426, 411, 424, 391, 310, 377, 383, 375, 378, 278]",52
404,management,productivity,demates,computer,[1152],1
405,management,productivity,demates,connector,[551],1
406,management,productivity,demates,environmental,[262],1
407,management,productivity,demates,extend mission,"[1799, 567, 333]",3
408,management,productivity,demates,fitting,[570],1
409,management,productivity,demates,flight ground lander challenge axis,"[16301, 3339, 3716, 2476, 2041, 1843, 1765, 1484, 1390, 963, 584, 403, 422, 198, 401]",15
410,management,productivity,demates,hardware configuration,[1335],1
411,management,productivity,demates,interpret,[1262],1
412,management,productivity,demates,maturity,[1346],1
413,management,productivity,demates,propulsion,"[964, 572]",2
414,management,productivity,demates,restraint,[1376],1
415,management,productivity,demates,supervision,"[885, 636, 609, 587]",4
416,management,productivity,demates,valve,[420],1
417,management,productivity,disassembly inspection,assumption make,"[28202, 28201, 14001, 14201, 1860, 1997, 1770, 1517, 1308, 1227, 1167, 433]",12
418,management,productivity,disassembly inspection,thread,[1222],1
419,management,productivity,disassembly inspection,valve,[292],1
420,management,productivity,downlinks,assumption make,"[19601, 1279, 1106, 1109]",4
421,management,productivity,downlinks,contamination,[706],1
422,management,productivity,downlinks,design manufacturing,[801],1
423,management,productivity,downlinks,hazardous activity,[1310],1
424,management,productivity,downlinks,propulsion,[1005],1
425,management,productivity,downlinks,subsystem,[710],1
426,management,productivity,electronic electrical equipment,assumption make,"[24501, 4416, 1501, 1228, 1250, 1060, 757]",7
427,management,productivity,electronic electrical equipment,flight ground lander challenge axis,[512],1
428,management,productivity,electronic electrical equipment,hardware configuration,[1127],1
429,management,productivity,electronic electrical equipment,inclusive system,[5656],1
430,management,productivity,electronic electrical equipment,propulsion,[1469],1
431,management,productivity,emittance,assumption make,"[17901, 17001, 15301, 8601, 8401, 5010, 4881, 5776, 3396, 2116, 1478, 479]",12
432,management,productivity,emittance,contamination,"[5636, 366]",2
433,management,productivity,emittance,radiation,[15702],1
434,management,productivity,emittance,supervision,[967],1
435,management,productivity,emittance,valve,[3177],1
436,management,productivity,hot gas,assumption make,"[23801, 5862, 14902, 10001, 6577, 6976, 4579, 4588, 6657, 5200, 5117, 6377, 5163, 3556, 3316, 3496, 2956, 2856, 2316, 2217, 2051, 2016, 2017, 1856, 1780, 1764, 1511, 1490, 1411, 1350, 1343, 1348, 1312, 1293, 1285, 1249, 1195, 1094, 1093, 1062, 961, 968, 899]",43
437,management,productivity,hot gas,failure investigation,[738],1
438,management,productivity,hot gas,flight ground lander challenge axis,"[3377, 1347, 1104, 978]",4
439,management,productivity,hot gas,inspection criterion,[1001],1
440,management,productivity,hot gas,performance issue,[980],1
441,management,productivity,hot gas,supervision,[1112],1
442,management,productivity,hot gas,supervisor,[1192],1
443,management,productivity,hot gas,valve,[54],1
444,management,productivity,indicator pressure gauge,altitude,[501],1
445,management,productivity,indicator pressure gauge,assumption make,"[23901, 4966, 1203, 805, 285]",5
446,management,productivity,indicator pressure gauge,flight ground lander challenge axis,"[4057, 1389, 490]",3
447,management,productivity,indicator pressure gauge,supervision,[1097],1
448,management,productivity,metal oxide semiconductor,assumption make,"[6796, 2336, 1132, 1035, 1017, 944, 932]",7
449,management,productivity,metal oxide semiconductor,contamination,[605],1
450,management,productivity,metal oxide semiconductor,environmental,[2298],1
451,management,productivity,metal oxide semiconductor,failure investigation,"[507, 295]",2
452,management,productivity,metal oxide semiconductor,fire source,[2045],1
453,management,productivity,metal oxide semiconductor,propulsion,[185],1
454,management,productivity,metal oxide semiconductor,radiation,[486],1
455,management,productivity,metal oxide semiconductor,supervision,"[6216, 3116, 1316, 1204]",4
456,management,productivity,metal oxide semiconductor,supervisor,[201],1
457,management,productivity,metal oxide semiconductor,terrain,[22401],1
458,management,productivity,metal oxide semiconductor,valve,[393],1
459,management,productivity,mro,assumption make,"[4581, 6076, 2157, 1054, 945]",5
460,management,productivity,mro,failure investigation,[341],1
461,management,productivity,mro,flight ground lander challenge axis,[309],1
462,management,productivity,mro,hazardous activity,[1275],1
463,management,productivity,pfr,assumption make,"[24006, 17802, 5125, 1353, 1190, 1141, 1039, 1037, 816, 553, 534, 529, 457, 445]",14
464,management,productivity,pfr,clearing,[4976],1
465,management,productivity,pfr,contamination,[3576],1
466,management,productivity,pfr,environmental,[651],1
